codigo,marca,equivalencia
1457434201,Bosch,BPS-150
1457434204,Bosch,BPS-877
1457434900,Bosch,BPS-150
1457434901,Bosch,BPS-150
1457434902,Bosch,BPS-150
1457434903,Bosch,BPS-150
1457434904,Bosch,BPS-150
1457434905,Bosch,BPS-150
1457434909,Bosch,BPS-150
1457434910,Bosch,BPS-150
1457459560,Bosch,BLE-3
1986452000,Bosch,BLS-916
1986452001,Bosch,BLS-1A
1986452002,Bosch,BLS-15
1986452004,Bosch,BLS-916
1986452005,Bosch,BLS-15
1987429002,Bosch,AE-370
1987429003,Bosch,AE-145
1987429009,Bosch,AE-4615
1987429010,Bosch,AE-250
1987429012,Bosch,AE-118
1987429013,Bosch,AE-124
1987429022,Bosch,AE-145
1987429028,Bosch,AE-342
1987429029,Bosch,AE-5015
1987429031,Bosch,AE-342
1987429032,Bosch,AE-3010
1987429040,Bosch,AE-323
1987429051,Bosch,AE-462
1987429116,Bosch,AE-4327
1987429118,Bosch,BAE-6902
1987429121,Bosch,AE-343
1987429132,Bosch,AE-4615
1987429135,Bosch,AE-2003
1987429137,Bosch,AE-1602
1987429302,Bosch,AE-343
1987430001,Bosch,BAE-5204
1987430003,Bosch,BAE-22
1987430004,Bosch,BAE-517
1987430005,Bosch,BAE-475081
1987430006,Bosch,BAE-1222
1987430008,Bosch,BAE-7225
1987430009,Bosch,BAE-1760
1987430011,Bosch,BAE-475081S
1987430012,Bosch,BAE-5544
1987430018,Bosch,BAE-4972
1987430020,Bosch,BAE-75
1987430026,Bosch,BAE-50
1987430030,Bosch,BAE-489
1987430038,Bosch,BAE-166
1987430042,Bosch,BAE-7504
1987430052,Bosch,BAE-4221
1987430062,Bosch,BAE-6632S
1987430063,Bosch,BAE-6632
1987430064,Bosch,BAE-9374
1987430067,Bosch,BAE-6886463
1987430068,Bosch,BAE-1544428
1987430075,Bosch,BAE-161
1987430076,Bosch,BAE-489
1987430077,Bosch,BAE-3194
1987452028,Bosch,AE-342
2457010001,Bosch,BPE-105
9450732000,Bosch,BLS-103
9450732002,Bosch,BLS-16
9450732003,Bosch,BLS-103
9450732005,Bosch,BLS-33
9450732007,Bosch,BLS-339
9450732008,Bosch,BLS-3
9450732009,Bosch,BLS-103
9450732012,Bosch,BLS-5400
9450732012,Bosch,BLS-540
9450733000,Bosch,BPS-877
9451037407,Bosch,BPE-105
9451080019,Bosch,BPE-105
9451080065,Bosch,BPS-8125339
9451080371,Bosch,BPE-105
9451160001,Bosch,BAE-5204
9451160003,Bosch,BAE-22
9451160004,Bosch,BAE-517
9451160005,Bosch,BAE-475081
9451160006,Bosch,BAE-1222
9451160008,Bosch,BAE-7225
9451160009,Bosch,BAE-1760
9451160011,Bosch,BAE-475081S
9451160012,Bosch,BAE-5544
9451160018,Bosch,BAE-4972
9451160020,Bosch,BAE-75
9451160026,Bosch,BAE-50
9451160030,Bosch,BAE-489
9451160038,Bosch,BAE-166
9451160042,Bosch,BAE-7504
9451160052,Bosch,BAE-3194
9451160062,Bosch,BAE-6632S
9451730701,Bosch,AE-660
9451732600,Bosch,BLE-10
9451732603,Bosch,BLE-98
9451733000,Bosch,BPS-150
9451733300,Bosch,BPE-1124
9455080005,Bosch,BPS-8125339
9455081013,Bosch,HFL-466634
9455081024,Bosch,BLS-3000
9455081025,Bosch,BLS-339
9455081040,Bosch,BLE-38
9455081052,Bosch,BLE-52
9455081055,Bosch,BLE-5
9455081504,Bosch,BLS-650
9455085000,Bosch,BLE-98
9455087002,Bosch,BAE-7225
9455087003,Bosch,BAE-5204
9455087004,Bosch,BAE-489
9455087005,Bosch,BAE-517
9455087007,Bosch,BAE-3194
9455087012,Bosch,BAE-2835
9455087023,Bosch,BAE-4221
9455087032,Bosch,BAE-6886463
9455087033,Bosch,BAE-8848
9455087036,Bosch,BAE-166
9455087040,Bosch,BAE-283
9455087047,Bosch,BAE-2835
9455087050,Bosch,BAE-517S
9455160246,Bosch,BPS-150
9455160251,Bosch,BPE-105
9455160325,Bosch,BPS-877
9455160328,Bosch,BPS-796
9455160329,Bosch,BPE-105
9455160330,Bosch,BPE-107
9455160352,Bosch,BPS-8125339
9457200078,Bosch,BLE-10
9457200190,Bosch,BLE-11
9457200240,Bosch,BLE-50
9457200250,Bosch,BLE-3
9457200400,Bosch,BLE-42
9457200780,Bosch,BLE-10
9457202850,Bosch,BLE-60
9457208080,Bosch,BLE-38
9457208200,Bosch,BLE-314
9457209080,Bosch,BLE-38
9457216030,Bosch,BLE-38
9457222090,Bosch,AE-52
9457229320,Bosch,AE-145
9457240870,Bosch,BLE-40
9457241280,Bosch,BLE-40
9457241310,Bosch,BLE-50
9457280140,Bosch,BLS-200
9457280530,Bosch,BLS-1A
9457280600,Bosch,BLS-1A
9457281520,Bosch,BLS-916
9457282160,Bosch,BLS-270
9457282160,Bosch,BLS-69
9457282170,Bosch,BLS-33
9457282190,Bosch,BLS-330
9457282230,Bosch,BLS-1A
9457282280,Bosch,BLS-561
9457282440,Bosch,BLS-21
9457283520,Bosch,BLS-682
9457285120,Bosch,BLS-916
9879993004,Bosch,BPE-105
9879993015,Bosch,BPE-146
9879993016,Bosch,BPE-107
9879993023,Bosch,BPE-1124
9879993036,Bosch,BPS-150
14574298500,Bosch,BLE-3
451103013310,Bosch,BLS-561
451104005850,Bosch,BLS-200
1457429800850,Bosch,AE-370
1457429801850,Bosch,AE-145
1457429802850,Bosch,AE-250
1457429810850,Bosch,AE-342
1457429951850,Bosch,BAE-50
1457431261400,Bosch,BPE-105
1457434120889,Bosch,BPS-8125339
1457434900850,Bosch,BPS-150
1457434900867,Bosch,BPS-150
1457434905850,Bosch,BPS-150
0451203FR1,Bosch,BLS-111
0986B00018,Bosch,BLS-561
0986B00028,Bosch,BLS-30100
0986B01000,Bosch,BLS-540
0986B01005,Bosch,BLS-200
0986B01011,Bosch,BLS-3000
0986B01015,Bosch,BLS-339
0986B01018,Bosch,HFL-466634
0986B01019,Bosch,BLS-270
0986B01020,Bosch,HFL-477556
0986B01565,Bosch,BLE-5
0986B01652,Bosch,BLE-98
0986B02018,Bosch,AE-620
0986B02305,Bosch,AE-631
0986B03003,Bosch,BAE-5626M
0986B03508,Bosch,BAE-3194
0986B03509,Bosch,BAE-4221
0986B03511,Bosch,BAE-7225
0986B03515,Bosch,BAE-517
0986B03522,Bosch,BAE-8848
0986B03531,Bosch,BAE-283
0986B03535,Bosch,BAE-5204
0986B03536,Bosch,BAE-3194
0986B03537,Bosch,BAE-5626M
0986B03904,Bosch,BAE-2835
0986B03907,Bosch,BAE-517S
0986BF0218,Bosch,BPF-57014
12A,Bosch,BAE-5544
19HE,Bosch,BLE-11
1A,Bosch,BAE-5204
2005H,Bosch,BLS-16
2008H,Bosch,BLS-1A
2010H,Bosch,BLS-330
2012H,Bosch,BLS-5400
2209A,Bosch,AE-52
24HE,Bosch,BLE-50
2500HE,Bosch,BLE-10
2603HE,Bosch,BLE-98
26A,Bosch,BAE-50
285HE,Bosch,BLE-60
2932A,Bosch,AE-145
30A,Bosch,BAE-489
38A,Bosch,BAE-166
3A,Bosch,BAE-22
4087HE,Bosch,BLE-40
40HE,Bosch,BLE-42
4128HE,Bosch,BLE-40
4131HE,Bosch,BLE-50
42A,Bosch,BAE-7504
4A,Bosch,BAE-517
5A,Bosch,BAE-475081
6A,Bosch,BAE-1222
701A,Bosch,AE-145
78HE,Bosch,BLE-10
8053H,Bosch,BLS-1A
8060H,Bosch,BLS-1A
8152H,Bosch,BLS-916
8216H,Bosch,BLS-270
8219H,Bosch,BLS-330
8223H,Bosch,BLS-1A
8241H,Bosch,BLS-33
8244H,Bosch,BLS-21
8A,Bosch,BAE-7225
986B02313,Bosch,AE-5496
9A,Bosch,BAE-1760
AB03511,Bosch,BAE-7225
AB03515,Bosch,BAE-517
AB2018,Bosch,AE-620
AB2288,Bosch,BAE-4225SR
AB3535,Bosch,BAE-5204
AB3904,Bosch,BAE-2835
AB3907,Bosch,BAE-517S
AF234,Bosch,AE-4615
AF241,Bosch,AE-342
AF244,Bosch,AE-5015
AF248,Bosch,AE-124
AF250,Bosch,AE-145
AF-255,Bosch,AE-145
AF269,Bosch,AE-3014
AF295,Bosch,AE-343
BD0725,Bosch,BPS-8193841
DB0704,Bosch,BPE-105
F000KP1084,Bosch,BLS-3000
F000KRN723,Bosch,BPS-8125339
F000LF7055,Bosch,BAE-3823SR
F43426512,Bosch,BPE-107
FJ5J20S1Z,Bosch,BPE-107P
FJAW113,Bosch,BPE-107
FJDW53,Bosch,BPE-105
FJSF16S16Z,Bosch,BPE-105
FJSJ11S12,Bosch,BPE-105
FJSJ11S14,Bosch,BPE-105
FJSJ11S14Z,Bosch,BPE-105
FJSJ16S12Z,Bosch,BPE-105
FJSJ16S13Z,Bosch,BPE-107
FJSJ16U22,Bosch,BPE-105
FJSJ16U23Z,Bosch,BLS-270
FJSJ1851Z,Bosch,BPE-107
FJSJ1FL42,Bosch,BPE-146
FJSJ21S11Z,Bosch,BPE-107P
FJSJ24S3Z,Bosch,BLE-40
FJSJ25511ZB,Bosch,BPE-107P
FJSJ2551Z,Bosch,BPE-107P
FJSJ2651Z,Bosch,BPE-107P
FJSJ2752Z,Bosch,BPE-105
FJSJ2851Z,Bosch,BPE-107P
FJSJ2852Z,Bosch,BPE-105
FJSJ28P2Z,Bosch,BPE-107P
FJSJ31P1Z,Bosch,BPE-105
FJSJ31P2Z,Bosch,BPE-107P
FJSJ32P1,Bosch,BPE-105
FJSJ32P1Z,Bosch,BPE-105
FJSJ32P2Z,Bosch,BPE-105
FJSJ32U8,Bosch,BPE-105
FJSJ32U8Z,Bosch,BPE-105
FJSJ32U9Z,Bosch,BPE-107P
FKSJ2453Z,Bosch,BLE-40
L465,Bosch,AE-343
NO725,Bosch,BPS-8193841
O126,Bosch,BLS-682
O316,Bosch,BLS-682A
OB1000,Bosch,BLS-540
OF102,Bosch,BLS-3
OF103,Bosch,BLS-33
OF104,Bosch,BLS-33
OF106,Bosch,BLS-330
OF108,Bosch,BLS-7
OF110,Bosch,BLS-21
OF111,Bosch,BLS-15
OF113,Bosch,BLS-561
OF114,Bosch,BLS-331
OF115,Bosch,BLS-22
OF117,Bosch,BLE-931
OF118,Bosch,BLE-931
OF120,Bosch,BLS-561
OF121,Bosch,BLE-38
OF125,Bosch,BLS-30N
OF131,Bosch,BLS-450
OF132,Bosch,BLS-111
OF133,Bosch,BLS-916
OF134,Bosch,BLS-15
OF140,Bosch,BLE-931
OF142,Bosch,BLS-3950
OF142,Bosch,BLS-682
OF143,Bosch,BLS-56
OF144,Bosch,BLS-21
OF144,Bosch,BLS-28
OF146,Bosch,BLS-682
OF150,Bosch,BLS-561
OF151,Bosch,BLS-21
OF155,Bosch,BLS-21
OF159,Bosch,BLS-561
OF161,Bosch,BLS-11
OF164,Bosch,BLS-682
OF165,Bosch,BLS-21
OF610,Bosch,BLS-21
OF611,Bosch,BLS-15
OF613,Bosch,BLS-561
OF620,Bosch,BLS-72
OF624,Bosch,BLS-11
OF627,Bosch,BLS-3950
OF628,Bosch,BLS-916
OF629,Bosch,BLS-30N
P1181,Bosch,BLS-682
P2007,Bosch,BLS-682
P2016,Bosch,BLS-682
P2020,Bosch,BLS-682
P3089,Bosch,BLS-682
P3147,Bosch,BLS-682
P3148,Bosch,BLS-682
P3174,Bosch,BLS-682
P3233,Bosch,BLS-682
P9647,Bosch,BLE-314
PBFJSJ16P16Z,Bosch,BPE-105
PBFJSJ16S16Z,Bosch,BPE-105
PBFJSJ25P2Z,Bosch,BPE-105
PSJ182,Bosch,BPE-105
PSJ183,Bosch,BPE-105
PSJ6F1Z,Bosch,BPE-146
S9121,Bosch,AE-343
S9941,Bosch,BAE-166
27204,CATERPILLAR,BPE-1124
27204,CATERPILLAR,BPE-138
28471,CATERPILLAR,BLE-50
54179,CATERPILLAR,BHE-211M
248097,CATERPILLAR,BLS-4005
313658,CATERPILLAR,BLS-1A
314361,CATERPILLAR,BLS-1A
329060,CATERPILLAR,BLS-1A
329867,CATERPILLAR,BHE-206
329868,CATERPILLAR,BHE-206
337854,CATERPILLAR,BPS-150
347003,CATERPILLAR,BLE-3
364464,CATERPILLAR,BLS-1A
374003,CATERPILLAR,BLE-3
541719,CATERPILLAR,BHE-211M
550485,CATERPILLAR,BLE-20
555484,CATERPILLAR,BLE-11
632315,CATERPILLAR,BPE-135
634615,CATERPILLAR,BLE-40
637899,CATERPILLAR,BPE-135
643736,CATERPILLAR,BLE-40
662791,CATERPILLAR,BAE-50
663384,CATERPILLAR,BAE-4972
665459,CATERPILLAR,BAE-4972
667543,CATERPILLAR,BAE-50
667694,CATERPILLAR,BPE-110
668373,CATERPILLAR,BAE-4972
673217,CATERPILLAR,BAE-50
674979,CATERPILLAR,BAE-1222
676228,CATERPILLAR,BLE-38
676987,CATERPILLAR,BPS-150
682994,CATERPILLAR,BAE-50
684163,CATERPILLAR,BAE-4972
685501,CATERPILLAR,BAE-50
686911,CATERPILLAR,BAE-4972
687743,CATERPILLAR,BAE-50
687744,CATERPILLAR,BAE-4972
687746,CATERPILLAR,BAE-4972
687747,CATERPILLAR,BAE-50
688491,CATERPILLAR,BAE-1222
689401,CATERPILLAR,BAE-1222
773416,CATERPILLAR,BLS-200
773578,CATERPILLAR,BLS-916
773810,CATERPILLAR,BPS-228
773899,CATERPILLAR,BLS-300
773900,CATERPILLAR,BPS-227
774332,CATERPILLAR,BAE-910
774375,CATERPILLAR,BHE-206
774592,CATERPILLAR,BAE-475081VOLVO
776258,CATERPILLAR,BAE-475081SVOLVO
776725,CATERPILLAR,BPE-124
776727,CATERPILLAR,BPE-135
777261,CATERPILLAR,BPS-877
778190,CATERPILLAR,BLS-81
812684,CATERPILLAR,BLS-103
812684,CATERPILLAR,BLS-1A
813923,CATERPILLAR,BAE-22
813957,CATERPILLAR,BAE-9374
814648,CATERPILLAR,BAE-4972
938717,CATERPILLAR,BAE-4972
944433,CATERPILLAR,LFP-958
944434,CATERPILLAR,LFP-959
946081,CATERPILLAR,BAE-475081SVOLVO
946352,CATERPILLAR,BAE-9374
946353,CATERPILLAR,BAE-22
947073,CATERPILLAR,BPS-68
947207,CATERPILLAR,BLS-833
947208,CATERPILLAR,BLS-838
947538,CATERPILLAR,BPE-25
947958,CATERPILLAR,BLS-15
948385,CATERPILLAR,BLE-1890
948412,CATERPILLAR,BPS-544
966396,CATERPILLAR,BPS-49
966396,CATERPILLAR,BPS-68
969624,CATERPILLAR,BAE-5081
969625,CATERPILLAR,BPS-544
971217,CATERPILLAR,BAE-1760
971247,CATERPILLAR,BAE-6902
971251,CATERPILLAR,BLS-916
971289,CATERPILLAR,BLS-33
971293,CATERPILLAR,BAE-6903
971334,CATERPILLAR,AE-4801
971357,CATERPILLAR,BPS-150
971424,CATERPILLAR,AE-4801
971426,CATERPILLAR,BAE-9113
971450,CATERPILLAR,BLS-330
972585,CATERPILLAR,BPE-110
972597,CATERPILLAR,BLS-33
973356,CATERPILLAR,BLS-916
973976,CATERPILLAR,BLS-28
1032901,CATERPILLAR,BPS-304
1032977,CATERPILLAR,BLS-270
1033229,CATERPILLAR,BAE-1222
1033496,CATERPILLAR,BAE-4972
1041296,CATERPILLAR,BPS-521
1041426,CATERPILLAR,BLS-3007
1106326,CATERPILLAR,BAE-1955R
1106331,CATERPILLAR,BAE-1955
1112370,CATERPILLAR,HFW-2010
1120926,CATERPILLAR,HFW-2073
1146934,CATERPILLAR,BLS-682
1153846,CATERPILLAR,BAE-3603
1169924,CATERPILLAR,HFL-76
1304678,CATERPILLAR,BAE-175SR
1318902,CATERPILLAR,BAE-1955R
1318903,CATERPILLAR,BAE-1955
1421404,CATERPILLAR,BAE-111100225
1527217,CATERPILLAR,BAE-175SR
1838187,CATERPILLAR,BPS-68
2201523,CATERPILLAR,BLS-11
2229020,CATERPILLAR,BAE-5627SR
2229021,CATERPILLAR,BAE-5627S
2567902,CATERPILLAR,BAE-5628SR
2567903,CATERPILLAR,BAE-5628S
2752604,CATERPILLAR,BLS-4005
15A53CH,CATERPILLAR,BPE-148
1A3479,CATERPILLAR,BPS-877
1F1660,CATERPILLAR,BPE-148
1F1661,CATERPILLAR,BPE-148
1F1663,CATERPILLAR,BPE-148
1F1664,CATERPILLAR,BPE-148
1L8644,CATERPILLAR,BPE-135
1M9150,CATERPILLAR,BHE-211
1M9156,CATERPILLAR,BHE-211
1N3224,CATERPILLAR,BLS-81
1P2299,CATERPILLAR,BPS-877
1P2781,CATERPILLAR,BAE-9334
1P2999,CATERPILLAR,BPS-877
1P7958,CATERPILLAR,BAE-9334
1R0178,CATERPILLAR,BPE-114
1R0511,CATERPILLAR,BPS-877
1R0658,CATERPILLAR,HFL-466634
1R0659,CATERPILLAR,BLE-11
1R0711,CATERPILLAR,BPS-877
1R0713,CATERPILLAR,BLS-81
1R0714,CATERPILLAR,HFL-76
1R0716,CATERPILLAR,BLS-4005
1R0718,CATERPILLAR,BPE-114
1R0719,CATERPILLAR,BHE-211
